zip,eiaid,utility_name,state,service_type,ownership,comm_rate,ind_rate,res_rate
27022,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
27023,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
27028,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
28630,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
28634,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
28636,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
28031,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
28036,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
28037,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
28034,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
28035,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
27111,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
28137,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
28125,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
28127,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
28120,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
28123,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
27320,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
27019,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
27014,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
27016,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
27013,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
27012,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
28699,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
28609,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
28601,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
28606,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
27205,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
28688,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
27284,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
27285,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
27127,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
27358,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
28117,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
28681,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
27370,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
27371,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
27373,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
27374,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
28654,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
28650,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
28659,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
27235,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
27239,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
28092,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
27042,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
27043,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
27046,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
27045,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
27048,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
28010,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
28146,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
28147,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
28144,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
28682,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
28689,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
28625,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
28624,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
27262,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
27265,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
28027,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
27409,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
27107,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
27310,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
28678,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
28677,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
28673,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
28078,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
28115,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
27299,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
27293,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
27292,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
27295,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
28164,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
28166,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
27360,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
28645,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
28081,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
28080,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
27051,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
27052,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
27055,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
27054,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
28009,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
28006,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
28001,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
28216,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
